precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count
"['TiO2', 'SrCO3', 'Nb2O5']",Sr1Ti0.98Nb0.02O3,0.01 Nb2O5 + 1 SrCO3 + 0.98 TiO2 == 1 SrTi.98Nb.02O3 + 1 CO2 + 0.005 O2,2015,"['calcined', 'sintered']","[[1200.0], [1450.0]]","[[16.0], [12.0]]",1450.0,12.0,1200.0,16.0,10.1063/1.4927839,True,4
"['La2O3', 'SrCO3', 'MnO2']",Sr0.5La0.5Mn1O2.88,0.25 La2O3 + 1 MnO2 + 0.5 SrCO3 == 1 La0.5Sr0.5MnO2.88 + 0.5 CO2 + 0.185 O2,2009,"['heated', 'heated', 'sintered']","[[899.85], [1199.85], [1399.85]]","[[72.0], [24.0], []]",1399.85,,,,10.1016/j.jmmm.2009.01.015,True,1
"['MnCO3', 'NiO', 'Fe2O3', 'ZnO']",Mn0.45Zn0.5Fe2Ni0.05O4,1 Fe2O3 + 0.45 MnCO3 + 0.05 NiO + 0.5 ZnO == 1 Mn0.45Ni0.05Zn0.50Fe2O4 + 0.45 CO2,2013,['calcined'],[[949.85]],[[5.0]],,,949.85,5.0,10.1016/j.jmmm.2013.06.004,True,2
"['Sc2O3', 'La2O3']",LaScO3,0.5 La2O3 + 0.5 Sc2O3 == 1 LaScO3,2001,"['calcined', 'heated', 'sintered', 'heated']","[[1100.0], [1500.0], [1600.0], [600.0]]","[[1.0], [5.0], [10.0], [2.0]]",1599.9,10.666666666666666,1312.425,7.666666666666667,10.1016/s0167-2738(01)00887-6,True,4
"['SnO2', 'TiO2']",Ti0.75Sn0.25O2,0.25 SnO2 + 0.75 TiO2 == 1 (Sn0.25Ti0.75)O2,2012,['sintered'],[[1550.0]],[[]],1550.0,,,,10.1111/j.1551-2916.2011.04794.x,True,1
"['Ag', 'AgBr', 'Te']",Ag19Te6Br7,12 Ag + 7 AgBr + 6 Te == 1 Ag19Te6Br7,2008,"['heated', 'held', 'annealed']","[[926.85], [], [344.85]]","[[], [], []]",,,344.85,,10.1021/cm800425u,True,1
"['La2O3', 'Fe', 'SrCO3']",Sr0.4La0.6Fe1O3,1 Fe + 0.3 La2O3 + 0.85 O2 + 0.4 SrCO3 == 1 La0.6Sr0.4FeO3 + 0.4 CO2,2017,"['heated', 'decomposes', 'calcined']","[[], [], [999.85]]","[[], [], [2.0]]",,,999.85,2.0,10.1039/c7cy01300k,True,2
"['Nb2O5', 'AgNO3']",Nb13AgO33,1 AgNO3 + 6.5 Nb2O5 + 1 [OH-] == 1 AgNb13O33 + 0.5 H2O + 1 [NO3-],2019,[],[],[],,,990.0,12.0,10.1016/j.cej.2019.02.091,True,2
"['TiO2', 'Bi2O3']",Ti4Bi2O11,1 Bi2O3 + 4 TiO2 == 1 Bi2Ti4O11,2010,['calcined'],[[900.0]],[[5.0]],,,900.0,5.0,10.1007/s10854-010-0064-4,True,2
"['Cr2O3', 'La2O3', 'ZrO2', 'Li2CO3']",Li7.1La3Zr1.9Cr0.1O12,0.05 Cr2O3 + 1.5 La2O3 + 3.55 Li2CO3 + 1.9 ZrO2 == 1 Li7.1La3Zr1.9Cr0.1O12 + 3.55 CO2,2014,"['calcination', 'calcined', 'sintering']","[[900.0], [1125.0], [1230.0]]","[[12.0], [12.0], [16.0]]",1230.0,16.0,1125.0,12.0,10.1016/j.ssi.2014.10.009,True,4
"['Al2O3', 'Fe2O3', 'CuO']",AlFeCuO4,0.5 Al2O3 + 1 CuO + 0.5 Fe2O3 == 1 CuAlFeO4,2004,"['prefired', 'fired', 'sintered']","[[950.0], [], [1000.0]]","[[72.0], [], [8.0]]",1000.0,8.0,,,10.1016/j.matchemphys.2004.06.008,True,2
"['TiO2', 'La2O3', 'ZnO']",La9Ti8ZnO31,4.5 La2O3 + 0.25 O2 + 8 TiO2 + 1 ZnO == 1 La9Ti8ZnO31,2016,"['calcined', 'sintered']","[[1300.0, 950.0], [1650.0, 1400.0]]","[[6.0], []]",1650.0,,1300.0,6.0,10.1007/s10854-016-4660-9,True,3
"['TiO2', 'GeO2', 'BaCO3']",Ba2Ti(GeO4)2,2 BaCO3 + 2 GeO2 + 1 TiO2 == 1 Ba2TiGe2O8 + 2 CO2,2012,['annealed'],[[]],[[1.0]],,,,1.0,10.1063/1.4729488,True,1
"['Re', 'Eu2O3']",Eu3ReO8,1.5 Eu2O3 + 1.75 O2 + 1 Re == 1 Eu3ReO8,2000,"['heated', 'heated', 'annealed']","[[], [1176.85], []]","[[], [], [48.0]]",,,,48.0,10.1016/s0925-8388(00)00828-8,True,1
"['Nd2O3', 'Co3O4', 'Mn2O3']",Nd2Mn1Co1O6.12,0.333 Co3O4 + 0.5 Mn2O3 + 1 Nd2O3 + 0.143 O2 == 1 Nd2CoMnO6.12,2006,['sintered'],[[1320.0]],[[24.0]],1320.0,24.0,,,10.1016/j.jmmm.2005.10.004,True,2
"['CaCO3', 'Bi2O3', 'CeO2', 'Li2CO3', 'TiO2']",Li0.075Ca0.85Ce0.075Ti4Bi4O15,2 Bi2O3 + 0.85 CaCO3 + 0.075 CeO2 + 0.038 Li2CO3 + 4 TiO2 == 1 Ca0.85(LiCe)0.075Bi4Ti4O15 + 0.888 CO2 + 0.019 O2,2015,['calcining'],[[850.0]],[[2.0]],,,850.0,2.0,10.1007/s10854-014-2651-2,True,2
"['Cr2O3', 'Cu2O', 'NiO']",Cr0.97Cu1Ni0.03O2,0.485 Cr2O3 + 0.5 Cu2O + 0.03 NiO + 0.007 O2 == 1 CuCr0.97Ni0.03O2,2019,['calcined'],[[1100.0]],[[]],,,1100.0,,10.1016/j.jallcom.2019.03.291,True,1
"['PbO', 'CuO', 'Bi2O3']",Cu1Bi1.8Pb0.4O4,0.9 Bi2O3 + 1 CuO + 0.4 PbO == 1 Bi1.8Pb0.4CuO4 + 0.05 O2,1999,['calcined'],"[[740.0, 920.0]]","[[24.0, 72.0]]",,,740.0,24.0,10.1016/s0921-5107(99)00006-9,True,2
"['Cr2O3', 'Nd2O3', 'Fe2O3']",Nd1Cr0.5Fe0.5O3,0.25 Cr2O3 + 0.25 Fe2O3 + 0.5 Nd2O3 == 1 NdFe0.5Cr0.5O3,2017,"['preheated', 'calcination', 'treated']","[[600.0], [800.0], []]","[[3.0], [], []]",,,800.0,,10.1016/j.jmmm.2016.12.035,True,1
"['Fe(CO2)2', 'PH12N3O4', 'Li2CO3']",LiFePO4,1 (NH4)3PO4 + 1 FeC2O4 + 0.5 Li2CO3 + 0.5 O2 == 1 LiFePO4 + 2.5 CO2 + 1.5 H2O + 3 NH3,2009,['treated'],[[]],[[]],,,330.0,10.0,10.1016/j.jpowsour.2009.01.074,True,2
"['SrCO3', 'Co3O4', 'Fe2O3']",Sr2Fe18CoO30,0.667 Co3O4 + 18 Fe2O3 + 4 SrCO3 == 1 Sr4Co2Fe36O60 + 4 CO2 + 0.333 O2,2011,"['calcined', 'sintered']","[[1000.0], [1180.0]]","[[10.0], [16.0]]",1180.0,16.0,1000.0,10.0,10.1063/1.3593371,True,4
"['MoO3', 'Fe2O3', 'V2O5']",VFeMoO7,0.5 Fe2O3 + 1 MoO3 + 0.5 V2O5 == 1 FeVMoO7,1998,"['calcination', 'calcined', 'heated']","[[], [650.0], [660.0]]","[[], [35.0], [24.0]]",,,650.0,35.0,10.1021/ic980100u,True,2
"['CaCO3', 'SiO2', 'MnCO3', 'CeO2', 'Sc2O3']",Ca2.77Ce0.03Sc2Mn0.2Si3O12,2.77 CaCO3 + 0.03 CeO2 + 0.2 MnCO3 + 1 Sc2O3 + 3 SiO2 == 1 (Ca2.77Ce0.03Mn0.2)Sc2Si3O12 + 2.97 CO2 + 0.015 O2,2011,['sintered'],[[1350.0]],[[4.0]],1350.0,4.0,,,10.1039/c1jm11601k,True,2
"['MnO2', 'Ho2O3']",HoMn2O5,0.5 Ho2O3 + 2 MnO2 == 1 HoMn2O5 + 0.25 O2,2005,"['sintered', 'annealed']","[[], [1150.0]]","[[], [48.0]]",,,1150.0,48.0,10.1103/physrevb.71.172301,True,2
"['Na2CO3', 'PH6NO4']",Na4P2O7,2 NH4H2PO4 + 2 Na2CO3 == 1 Na4P2O7 + 2 CO2 + 3 H2O + 2 NH3,2020,"['heated', 'held', 'calcined']","[[350.0], [], [800.0, 600.0]]","[[], [24.0], []]",,,800.0,,10.1016/j.jallcom.2020.153922,True,1
"['In2O3', 'MgO', 'PH9(NO2)2']",Mg3In4(PO4)6,6 (NH4)2HPO4 + 2 In2O3 + 3 MgO == 1 Mg3In4P6O24 + 9 H2O + 12 NH3,2018,"['heated', 'sintered']","[[600.0], [1200.0]]","[[12.0], [24.0]]",1200.0,24.0,,,10.1016/j.jallcom.2018.05.079,True,2
['Li2SO4'],Li2SO4,1 Li2SO4·H2O == 1 Li2SO4 + 1 H2O,2017,['treatment'],[[300.0]],[[3.0]],,,349.85,2.0,10.1016/j.jpowsour.2017.02.038,True,2
"['TiO2', 'SrCO3', 'NiO', 'Fe2O3']",Sr1Ti0.3Fe0.6Ni0.1O3,0.3 Fe2O3 + 0.1 NiO + 0.2 O2 + 1 SrCO3 + 0.3 TiO2 == 1 SrTi0.3Fe0.6Ni0.1O3 + 1 CO2,2020,"['calcined', 'sintering']","[[1200.0], [1350.0]]","[[10.0], [5.0]]",1350.0,5.0,1200.0,10.0,10.1016/j.jpowsour.2020.227762,True,4
"['ZnO', 'V2O5', 'Li2CO3']",LiVZnO4,0.5 Li2CO3 + 0.5 V2O5 + 1 ZnO == 1 LiZnVO4 + 0.5 CO2,2012,['calcination'],[[700.0]],[[3.0]],,,700.0,3.0,10.1016/j.matlet.2011.11.076,True,2
"['NiO', 'Fe2O3', 'ZnO']",Zn0.65Fe2Ni0.35O4,1 Fe2O3 + 0.35 NiO + 0.65 ZnO == 1 Ni0.35Zn0.65Fe2O4,2010,"['sintered', 'sintering', 'annealed']","[[900.0], [950.0], [600.0]]","[[12.0], [], [10.0]]",950.0,12.0,500.0,10.0,10.1063/1.3456174,True,4
"['La2O3', 'SrO2', 'Nb2O5']",Sr0.02La0.99Nb1O4,0.495 La2O3 + 0.5 Nb2O5 + 0.02 SrO2 == 1 Sr0.02La0.99NbO4 + 0.012 O2,2012,['calcined'],[[699.85]],[[10.0]],,,699.85,10.0,10.1016/j.ijhydene.2011.12.041,True,2
"['Al2O3', 'CaCO3', 'SiO2']",Ca2Al2SiO7,1 Al2O3 + 2 CaCO3 + 1 SiO2 == 1 Ca2Al2SiO7 + 2 CO2 ; target Ca2Al2SiO7 with additives Ce via CeO2,2003,['sintered'],[[]],[[]],1320.0,23.0,895.0,3.0,10.1149/1.1566418,True,4
"['Sc2O3', 'SrCO3']",SrSc2O4,"1 Sc2O3 + 1 SrCO3 == 1 SrSc2O4 + 1 CO2 ; target SrSc2O4 with additives Ce3+, z, Eu2+ via CeO2, Eu2O3",2018,['calcined'],[[1400.0]],[[12.0]],,,1400.0,12.0,10.1016/j.cplett.2017.10.062,True,2
"['Ti', 'BaO', 'Bi']",BaTi2Bi2O,1 BaO + 2 Bi + 2 Ti == 1 BaTi2Bi2O,2014,"['heated', 'sintered']","[[850.0, 1000.0], [500.0]]","[[50.0, 50.0], []]",500.0,,,,10.1016/j.physc.2014.02.018,True,1
"['Nd2O3', 'Nb2O5']",NdNbO4,0.5 Nb2O5 + 0.5 Nd2O3 == 1 NdNbO4,2016,"['pre-sintered', 'sintered']","[[900.0], [1150.0]]","[[4.0], [4.0]]",1150.0,4.0,,,10.1007/s10854-015-4052-6,True,2
"['Ca(HO)2', 'SiO2']",Ca3SiO4,3 Ca(OH)2 + 1 SiO2 == 1 Ca3SiO4 + 3 H2O + 0.5 O2,2007,['calcining'],[[]],[[]],1450.0,2.0,,,10.1016/j.jhazmat.2006.06.009,True,2
