precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count,precursor_formulas_set
"['WO3', 'Ag2CO3', 'MoO3', 'Bi2O3']",Ag0.5Bi0.5Mo0.5W0.5O4,0.25 Ag2CO3 + 0.25 Bi2O3 + 0.5 MoO3 + 0.5 WO3 == 1 (Ag0.5Bi0.5)(Mo0.5W0.5)O4 + 0.25 CO2,2014,"['calcined', 'sintered']","[[500.0], [520.0]]","[[4.0], [2.0]]",520.0,2.0,500.0,4.0,10.1021/ic5004808,True,4,"['Ag2CO3', 'Bi2O3', 'MoO3', 'WO3']"
"['Ag', 'AgBr', 'Te']",Ag10125Te4Br3,10122 Ag + 3 AgBr + 4 Te == 1 Ag10125Te4Br3,2009,"['heated', 'annealed']","[[996.85], [346.85]]","[[], []]",,,346.85,,10.1038/nmat2358,True,1,"['Ag', 'AgBr', 'Te']"
"['Ag', 'AgBr', 'Te']",Ag10Te4Br3,7 Ag + 3 AgBr + 4 Te == 1 Ag10Te4Br3,2007,"['heated', 'held', 'annealed']","[[996.85], [], [346.85]]","[[], [], []]",,,346.85,,10.1021/cm062731p,True,1,"['Ag', 'AgBr', 'Te']"
"['Ag', 'AgBr', 'Te']",Ag19Te6Br7,12 Ag + 7 AgBr + 6 Te == 1 Ag19Te6Br7,2008,"['heated', 'held', 'annealed']","[[926.85], [], [344.85]]","[[], [], []]",,,344.85,,10.1021/cm800425u,True,1,"['Ag', 'AgBr', 'Te']"
"['GeO2', 'AgNO3']",Ag2GeO3,2 AgNO3 + 1 GeO2 + 2 [OH-] == 1 Ag2GeO3 + 1 H2O + 2 [NO3-],2009,"['calcined', 'heated', 'kept']","[[900.0], [210.0], []]","[[12.0], [], [20.0]]",,,900.0,12.0,10.1016/j.apcata.2009.07.015,True,2,"['AgNO3', 'GeO2']"
"['Ag2CO3', 'MoO3']",Ag2MoO4,1 Ag2CO3 + 1 MoO3 == 1 Ag2MoO4 + 1 CO2,2014,"['calcined', 'sintered']","[[350.0], [470.0, 400.0]]","[[4.0], [2.0]]",470.0,2.0,350.0,4.0,10.1111/jace.13159,True,4,"['Ag2CO3', 'MoO3']"
"['MoO3', 'Ag2O']",Ag2MoO4,1 Ag2O + 1 MoO3 == 1 Ag2MoO4,2008,[],[],[],450.0,48.0,,,10.1007/s11663-008-9173-3,True,2,"['Ag2O', 'MoO3']"
"['MoO3', 'AgNO3']",Ag2MoO4,2 AgNO3 + 1 MoO3 + 2 [OH-] == 1 Ag2MoO4 + 1 H2O + 2 [NO3-],2006,[],[],[],,,389.85,,10.1016/j.jssc.2005.12.041,True,1,"['AgNO3', 'MoO3']"
"['WO3', 'Ag2O']",Ag2WO4,1 Ag2O + 1 WO3 == 1 Ag2WO4,2005,[],[],[],699.85,18.0,,,10.1039/b504818d,True,2,"['Ag2O', 'WO3']"
"['Ag3SbS3', 'AgI']",Ag5SbS3I2,1 Ag3SbS3 + 2 AgI == 1 (AgI)2Ag3SbS3,2002,['annealed'],[[409.85]],[[]],,,409.85,,10.1039/b203556a,True,1,"['Ag3SbS3', 'AgI']"
"['AgCl', 'Ag', 'Te']",Ag5Te2Cl,4 Ag + 1 AgCl + 2 Te == 1 Ag5Te2Cl,2004,"['heated', 'heated']","[[479.85], []]","[[], []]",,,346.85,,10.1021/cm031131c,True,1,"['Ag', 'AgCl', 'Te']"
"['WO3', 'Bi2O3', 'Ag2O']",AgBi(WO4)2,0.5 Ag2O + 0.5 Bi2O3 + 2 WO3 == 1 AgBiW2O8,2005,[],[],[],699.85,18.0,,,10.1039/b504818d,True,2,"['Ag2O', 'Bi2O3', 'WO3']"
"['Ag2S', 'Bi2S3']",AgBi3S5,0.5 Ag2S + 1.5 Bi2S3 == 1 AgBi3S5,2013,['annealed'],[[600.0]],[[]],,,600.0,,10.1016/j.tca.2013.03.011,True,1,"['Ag2S', 'Bi2S3']"
"['Ag2S', 'Bi2S3']",AgBiS2,0.5 Ag2S + 0.5 Bi2S3 == 1 AgBiS2,2014,[],[],[],,,599.85,,10.1007/s10008-014-2395-1,True,1,"['Ag2S', 'Bi2S3']"
"['Sb2O5', 'Ag2O']",AgSbO3,0.5 Ag2O + 0.5 Sb2O5 == 1 AgSbO3,2008,['calcined'],[[899.85]],[[8.0]],,,949.925,16.0,10.1016/j.cattod.2007.10.094,True,2,"['Ag2O', 'Sb2O5']"
"['Al2O3', 'ZnO']",Al0.01Zn0.99O1,0.005 Al2O3 + 0.99 ZnO == 1 Al0.01Zn0.99O + 0.002 O2,2014,['sintered'],[[1000.0]],[[]],1200.0,,,,10.1039/c3tc31296h,True,1,"['Al2O3', 'ZnO']"
"['Al2O3', 'ZnO']",Al0.03Zn0.97O1,0.015 Al2O3 + 0.97 ZnO == 1 Zn0.97Al0.03O + 0.008 O2 ; target Zn0.97Al0.03O with additives Mn via MnCO3,2004,"['fired', 'reduced']","[[1250.0], [1300.0]]","[[8.0], [4.0]]",950.0,15.0,,,10.1103/physrevb.69.235109,True,2,"['Al2O3', 'ZnO']"
"['Al2O3', 'Fe2O3']",Al0.5Fe2.5O4,0.25 Al2O3 + 1.25 Fe2O3 == 1 Al0.5Fe2.5O4 + 0.25 O2,2005,['sintered'],[[1300.0]],[[12.0]],1300.0,12.0,,,10.1016/j.ssc.2004.12.048,True,2,"['Al2O3', 'Fe2O3']"
"['Al(HO)3', 'MoO3']",Al2(MoO4)3,2 Al(OH)3 + 3 MoO3 == 1 Al2(MoO4)3 + 3 H2O,2000,"['heating', 'sintered']","[[800.0, 700.0], [800.0]]","[[12.0, 5.0], [12.0]]",774.925,12.0,,,10.1021/cm990591w,True,2,"['Al(HO)3', 'MoO3']"
"['Al2O3', 'MoO3']",Al2(MoO4)3,1 Al2O3 + 3 MoO3 == 1 Al2Mo3O12,2014,"['consolidation', 'sintering']","[[], [776.85]]","[[], [24.0]]",743.425,18.0,750.0,4.0,10.1007/s10853-014-8498-3,True,4,"['Al2O3', 'MoO3']"
"['WO3', 'Al2O3']",Al2(WO4)3,1 Al2O3 + 3 WO3 == 1 Al2(WO4)3,2003,['sintered'],[[1100.0]],[[]],1100.0,,,,10.1016/s0022-3697(02)00361-x,True,1,"['Al2O3', 'WO3']"
"['Al2O3', 'Co2O3']",Al2CoO4,1 Al2O3 + 0.5 Co2O3 == 1 CoAl2O4 + 0.25 O2,2011,['calcining'],[[1300.0]],[[3.0]],,,1300.0,3.0,10.1016/j.ceramint.2010.10.031,True,2,"['Al2O3', 'Co2O3']"
"['Al2O3', 'Co3O4']",Al2CoO4,1 Al2O3 + 0.333 Co3O4 == 1 CoAl2O4 + 0.167 O2,2012,[],[],[],1130.0,,,,10.1016/j.dyepig.2012.04.017,True,1,"['Al2O3', 'Co3O4']"
"['Al2O3', 'Fe']",Al2FeO4,1 Al2O3 + 1 Fe + 0.5 O2 == 1 FeAl2O4,2003,['annealed'],[[1200.0]],[[3.0]],,,1200.0,3.0,10.1016/s0304-8853(03)00215-4,True,2,"['Al2O3', 'Fe']"
"['Al2O3', 'NiO']",Al2NiO4,1 Al2O3 + 1 NiO == 1 NiAl2O4,2005,"['preheated', 'refired']","[[1100.0], []]","[[2.0], [14.0]]",1399.95,15.0,,,10.1111/j.1551-2916.2005.00603.x,True,2,"['Al2O3', 'NiO']"
"['Al2O3', 'B(HO)3', 'SrCO3']",Al2O3,1 Al2O3 + 2 H3BO3 + 3 O2 + 1 SrCO3 == 1 SrO+7Al2O3+B2O3 + 1 CO2 + 3 H2O,2004,"['fired', 'annealing']","[[1000.0], [1300.0]]","[[4.0], [2.0]]",,,1300.0,2.0,10.1016/j.materresbull.2003.11.007,True,2,"['Al2O3', 'B(HO)3', 'SrCO3']"
"['Al2O3', 'TeO2']",Al2TeO6,1 Al2O3 + 0.5 O2 + 1 TeO2 == 1 Al2TeO6,2012,"['calcined', 'calcined']","[[620.0], []]","[[30.0], []]",,,620.0,30.0,10.1016/j.scriptamat.2012.07.047,True,2,"['Al2O3', 'TeO2']"
"['Al2O3', 'ZnO']",Al2ZnO4,1 Al2O3 + 1 ZnO == 1 ZnAl2O4,2002,"['calcinated', 'sintered']","[[1199.85], [1399.85]]","[[1.0], [8.0]]",1443.0875,4.5,1093.7125,6.375,10.1016/s0022-3115(01)00749-8,True,4,"['Al2O3', 'ZnO']"
"['SiC', 'C', 'Al']",Al4SiC4,4 Al + 3 C + 1 SiC == 1 Al4SiC4,2007,"['heated', 'calcined']","[[], [1100.0]]","[[], []]",,,1100.0,,10.1016/j.corsci.2006.10.028,True,1,"['Al', 'C', 'SiC']"
"['Al2O3', 'AgNO3']",AlAgO2,1 AgNO3 + 0.5 Al2O3 + 1 [OH-] == 1 AgAlO2 + 0.5 H2O + 1 [NO3-],2011,"['calcined', 'calcined']","[[1050.0], [600.0]]","[[12.0], [4.0]]",850.0,5.0,600.0,4.0,10.1021/jp102530y,True,4,"['AgNO3', 'Al2O3']"
"['Al2O3', 'Bi2O3']",AlBiO3,0.5 Al2O3 + 0.5 Bi2O3 == 1 BiAlO3,2006,['treated'],"[[1199.85, 999.85]]",[[]],,,1000.0,,10.1021/cm052020b,True,1,"['Al2O3', 'Bi2O3']"
"['C', 'AlCr2']",AlCr2C,1 AlCr2 + 1 C == 1 Cr2AlC,2011,[],[],[],1400.0,,,,10.1016/j.jeurceramsoc.2011.01.009,True,1,"['AlCr2', 'C']"
